Validator,Vote Account,Stake (SOL),VL,LLV,CV,VO
Helius,he1iusunGwqrNtafDtLdhsUQDFvo13z9sUa36PauBtk,12927922.41011,1.520,90.84%,98.92%,N
Galaxy,CvSb7wdQAFpHuSpTYTJnX5SYH4hCfQ9VuGnqrKaKwycB,12921836.00198,1.601,87.59%,96.03%,N
Ledger by Figment,26pV97Ce83ZQ6Kz9XT4td8tdoUFPTng8Fb8gPyc53dJx,9368048.03425,1.649,86.87%,94.93%,N
Figment,CcaHc2L43ZWjwCHART3oZoJvHLAe9hzT2DJNUpBzoTN1,8684346.33734,1.657,87.59%,94.10%,N
P2P.org,FKsC411dik9ktS6xPADxs4Fk2SCENvAiuccQHLAPndvk,7501448.02386,1.562,88.21%,95.91%,N
Everstake,9QU2QSxhb24FUX3Tu2FpczXjpK3VYrvRudywSZaM29mF,6201903.85361,1.613,87.16%,94.76%,N
,55L7AV93xRmx5F7rX1GCfsHxfYWNu4bKsG6f8tG6dFRo,5745244.74358,1.657,86.85%,92.74%,N
,H74qox1GASBWd94FWMyy6GVAbRVLf9SAMgbJ1tzSUAst,5416256.65656,1.616,87.53%,94.74%,N
,G9x1mqewTeVnXLmv3FamYD5tq1AdS395RHH3MLQPj6TY,5410141.07998,1.520,90.39%,96.49%,N
Staking Facilities | MEV 🔥,DumiCKHVqoCQKD8roLApzR5Fit8qGV5fVQsJV9sTZk4a,5390105.07089,1.581,90.09%,96.87%,N
,XzMLju7T6BSSngmsPogeuryd6uswiimkPU87gB2chho,5159799.23523,1.489,93.79%,98.96%,N
Twinstake,Ak5BJzQe2R8qFuyYmaAFPjXuD7XPux3ZNTv52D7rfiqR,5095560.73810,1.301,95.57%,99.93%,N
,3ZYJxzCeweSoh2Jj7oCgencFs9y27iKmXJeqYapje1cj,5038902.52724,1.633,87.22%,94.66%,N
,AZoCYB4VgoM9DR9f1ZFcBn8xPSbtbqoxZnKJR7tkvEoX,5030433.90279,1.471,91.82%,98.03%,N
Jito2,J1to2NAwajc8hD6E6kujdQiPn1Bbt2mGKKZLY9kSQKdB,4918291.87672,1.373,94.25%,98.67%,N
Jito1,J1to1yufRnoWn81KYg1XkTWzmKjnYSnmE2VY8DGUJ9Qv,4393997.04188,1.744,84.14%,99.31%,N
Jupiter Validator [0% Commission + 100% MEV Kickback],CatzoSMUkTRidT5DwBxAC2pEtnwMBTpkCepHkFgZDiqb,4208445.31214,2.130,73.47%,97.37%,N
Kraken,KRAKEnMdmT4EfM8ykTFH6yLoCd5vNLcQvJwF66Y2dag,4045700.25336,1.561,90.58%,97.41%,N
,6x9uLhegx488uA3dPoq8DWHS488K4FsEqeeMXeW7kQPx,3875215.42252,1.315,95.24%,99.50%,N
Kiln,DdCNGDpP7qMgoAy6paFzhhak2EeyCZcgjH7ak5u5v28m,3781863.52684,1.414,94.12%,99.33%,N
,iZADA4YKVRJZJaDUV3j79DzyK4VJkK3DGTfvvqvbC1K,3598006.05266,2.271,71.44%,82.45%,N
0% Fee >> #1 🥇 | melea One,GvZEwtCHZ7YtCkQCaLRVEXsyVvQkRDhJhQgB6akPme1e,3470548.31135,1.658,87.89%,96.73%,N
,6jzDwKeR21EFHwaRgZMefMxJ9D2vnQRqfYxkpUuJppPh,3310680.57311,1.337,95.23%,99.69%,N
SOL Community,3Ty8DYNBkK237zPvACti83EJYGxDcMcoDMCou5r3eV5Q,3162000.02663,1.810,83.59%,98.68%,N
Asymmetric Research,CertusDeBmqN8ZawdkxK5kFGMwBXdudvWHYwtNgNhvLu,2987276.97177,1.343,94.79%,98.61%,N
Luganodes,6aow5rTURdbhbeMDrFrbP2GR5vZjMEhktEy87iH1VGPs,2964953.65262,2.234,73.25%,86.09%,N
,7xENfwKCajMB5aVTgmTB6h7d7Su91wTcnfMjoAQCMvKq,2916667.65538,1.891,81.95%,90.92%,N
Upbit Staking,GHViLgbrJdZDPb6sphRbeuPNM9cmjsFuGWzrTF1sKF5n,2834987.99110,1.949,81.23%,92.75%,N
,BkSS8kGUNcQkTgEKMmBhHxGVLdzw43EAzDYpZqyyxFrT,2798058.28433,1.982,77.62%,98.25%,N
Shinobi Systems 🚀 stakeview.app,BLADE1qNA1uNjRgER6DtUFf7FU3c1TWLLdpPeEcKatZ2,2771189.74760,1.374,91.05%,99.46%,N
Solflare,EXhYxF25PJEHb3v5G1HY8Jn8Jm7bRjJtaxEghGrUuhQw,2623208.76691,1.317,95.20%,99.41%,N
Coinbase,beefKGBWeSpHzYBHZXwp5So7wdQGX6mu4ZHCsH3uTar,2622303.58169,1.688,86.59%,95.19%,N
,At2rZHk554qWrjcmdNkCQGp8i4hdKLf52EXMrDmng5ab,2502415.68759,1.714,86.60%,94.09%,N
,72LbWsZFEyB7xrB9ggeoPUrSw2vzPEnsPJJHZo1svkM7,2502415.68049,1.899,81.83%,90.86%,N
,oixpqSNX7CKWHw93ViA8u1CcLzZXDmacKJjV4AvxMZE,2502395.55270,2.286,71.92%,85.40%,N
,2uXzxR2EZVaHE3CuaDaUJ8C9Qr54LMfwkY5BtRPAzbPE,2502391.13772,1.922,81.20%,89.39%,N
,8mHUDJjzPo2AwJp8SHKmG9rk9ftWTp7UysqYz36cMpJe,2502383.45450,1.359,95.31%,99.53%,N
,HDc84gs3CtqhebHycmoDpc5n2y3CFfd5GqYZkr2XiBMR,2500000.93738,2.089,76.76%,82.94%,N
,BhREyEsP3YAtQbTCrKcXgTNTeaq9gdjWji3Nz4d8Q1P2,2500000.93738,1.459,92.86%,98.19%,N
,JDMq8hxZnad2smKLGkFbfg8zVMZHKQcMugD4tMR9u2da,2499999.99217,2.138,73.18%,97.67%,N
,33hurzEz6aEnzfESL6pnNyR6DCgcKzssT1pwSzDCBTRQ,2499999.93967,1.542,90.10%,97.55%,N
,BU3ZgGBXFJwNTrN6VUJ88k9SJ71SyWfBJTabYqRErm4F,2499999.93967,2.126,73.37%,97.99%,N
,E9W5kU2fnha9yp4RmFZgNNsRUvy6oKnB9ZyR9LC81WaE,2409417.93738,1.887,82.09%,89.28%,N
,HxYHGzR58gyf6c4JAX85eK8GVuaZU2zne4be82Lq9SBQ,2322628.99412,1.335,95.42%,99.88%,N
,A9V5e8ZLwQ2ArKZnCcrmz9Q92pDCkUXE5tqJmJDZkCMo,2252534.52151,1.583,89.80%,95.90%,N
